Indice;Ingles_Original;PT_Referencia_Dataset;PT_Gerado_Pelo_Modelo
0;Brazil Collor de Mello's fatal week After three months of investigations and revelation of scandals, Brazil anxiously awaits the release of the final report of the Parliamentary Inquiry Commission which, tomorrow, should accuse President Collor de Mello of benefiting from the corruption scheme set up by Paulo C�sar (�PC�) Farias. Page 10;Brasil A semana fatal de Collor de Mello Ap�s tr�s meses de investiga��es e revela��o de esc�ndalos, o Brasil aguarda ansiosamente a divulga��o do relat�rio final da Comiss�o de Inqu�rito Parlamentar que, amanh�, dever� acusar o Presidente Collor de Mello de beneficiar do esquema de corrup��o montado por Paulo C�sar (�PC�) Farias. Pag. 10;Brasil Collor de Mello's fatal week Ap�s tr�s meses de investiga��es e revela��o de esc�ndalos, o Brasil aguarda ansiosamente a divulga��o do relat�rio final da Comiss�o Parlamentar de Inqu�rito que, amanh�, dever� acusar o Presidente Collor de Mello de beneficiar do esquema de corrup��o montado por Paulo C�sar (�PC�) Farias. P�gina 10
1;Deputies from the parliamentary groups of the United Left and Convergence and the Democratic Union of Catalonia, who are part of the Foreign Affairs Committee of the Congress, also received yesterday a committee that traveled to the capital of the neighboring country, formed by representatives of the Portuguese Council for Peace and Cooperation and the Commission for the Rights of the Maubere People. The Solidarity Committee with Timor-Leste requested an audience with the Indonesian ambassador to Spain, who, however, refused to receive representatives from that organization.;Deputados dos grupos parlamentares da Esquerda Unida e Converg�ncia e Uni�o Democr�tica da Catalunha, que integram a Comiss�o de Assuntos Exteriores do Congresso, receberam tamb�m ontem uma comiss�o que se deslocou � capital do pa�s vizinho, formada por representantes do Conselho Portugu�s para a Paz e Coopera��o e da Comiss�o pelos Direitos do Povo Maubere. O Comit� de Solidariedade com Timor-Leste pediu uma audi�ncia ao embaixador da Indon�sia em Espanha que, todavia, se recusou a receber os representantes daquela organiza��o.;Deputados dos grupos parlamentares da Esquerda Unida e da Converg�ncia e da Uni�o Democr�tica da Catalunha, que integram a Comiss�o dos Assuntos Externos do Congresso, receberam tamb�m ontem uma comiss�o que se deslocou � capital do pa�s vizinho, formada por representantes do Conselho Portugu�s para a Paz e Coopera��o e da Comiss�o para os Direitos do Povo Maubere. A Comiss�o de Solidariedade com Timor-Leste solicitou uma audi�ncia junto do embaixador indon�sio em Espanha, que, no entanto, recusou receber os representantes daquela organiza��o.
2;"Traduz o seguinte texto de ingl�s para portugu�s:
Tobacco is directly responsible for one death in five. In Portugal, this represented, in 1990, a total of 20 thousand deaths. 2. Tobacco smoke contains 43 carcinogenic compounds, which are also enhanced by other occupational, environmental and dietary factors, such as alcohol.";O tabaco é directamente responsável por uma morte em cada cinco. Em Portugal, isso representou, em 1990, um total de 20 mil óbitos. 2. O fumo do tabaco contém 43 compostos carcinogénicos, que são potenciados também por outros factores de natureza ocupacional, ambiental e alimentar, como por exemplo o álcool.;O tabaco é diretamente responsável por uma morte em cinco. Em Portugal, isto representava, em 1990, um total de 20 mil mortes. 2. O fumo do tabaco contém 43 compostos carcinogénicos, que também são potenciados por outros fatores ocupacionais, ambientais e dietéticos, como o álcool.
3;Attendance at Antas FC Porto lost a third FC Porto, despite being on the verge of becoming national champion for the second consecutive time, also has complaints regarding the number of spectators: from the average of 30 thousand last season, FC Porto leads So far, around 20 thousand have been recorded.;Assistência nas Antas FC Porto perdeu um terço O FC Porto, apesar de estar a pontos de se tornar campeão nacional pela segunda vez consecutiva, também tem queixas em relação ao número de espectadores: da média de 30 mil da época passada, o FC Porto leva contabilizada, até agora, cerca de 20 mil.;O FC Porto Antas perdeu um terço, apesar de estar à beira de se tornar campeão nacional pela segunda vez consecutiva, também tem queixas relativamente ao número de espetadores: da média de 30 mil na época passada, o FC Porto tem até agora cerca de 20 mil.
4;"Por favor, traduz este texto de ingl�s para portugu�s:
Tom Sckaville, Parliamentary Secretary for Health, said during a meeting of the British Medicines Control Agency, which took place last week, that the United Kingdom authorities are ""very keen"" to have the new agency in their country. Portugal is still considered one of the main candidates for setting up the agency and, despite Barcelona's strong candidacy, Portuguese possibilities do not seem threatened.";Tom Sckaville, secretário parlamentar para a Saúde, afirmou durante um encontro da Agência de Controlo de Medicamentos britânica, que teve lugar na semana passada, que as autoridades do Reino Unido estão «muito desejosas» de ter no seu país a nova agência. Portugal ainda é considerado como um dos principais candidatos à instalação da agência e, apesar da forte candidatura de Barcelona, as possibilidades portuguesas não parecem ameaçadas.;"Tom Sckilfe, Secretário de Estado para a Saúde, afirmou durante uma reunião da Agência Britânica de Controlo de Medicamentos, que decorreu na semana passada, que as autoridades do Reino Unido estão ""muito interessadas"" em ter a nova agência no seu país. Portugal continua a ser considerado um dos principais candidatos para a instalação da agência e, apesar da forte candidatura de Barcelona, as possibilidades portuguesas não parecem ameaçadas."
5;"Por favor, traduz este texto de ingl�s para portugu�s:
It's incredible the effect that Passos Coelho still has every time he returns to the spotlight. So much for those who like it, so much for those who... anyway. A life marked by difficult moments. Impressive character and an unbreakable spirit in the face of adversity, a lot of strength.";É incrível o efeito que o Passos Coelho ainda tem de toda a vez que volta a luz da ribalta. Tanto para quem gosta tanto para os que... enfim. Uma vida marcada por momentos difíceis. Impressionante caráter e um espírito inquebrável na cara da adversidade, muita força.;É incrível o efeito que o Passos Coelho ainda tem sempre que regressa à ribalta. Tanto para quem gosta, tanto para quem... enfim. Uma vida marcada por momentos difíceis. Um feitio impressionante e um espírito inquebrável face às adversidades, muita força.
6;The Portuguese, holidays and �bridges� Much more fame than benefit Nelson Veiga* As in many other things, also with regard to the number of holidays enjoyed and long weekends, known as �bridges�, the Portuguese they have much more fame than profit.;Os portugueses, os feriados e as «pontes» Muito mais fama que proveito Nelson Veiga* Como em muitas outras coisas, também no que se refere ao número de feriados gozados e aos fins-de-semana prolongados, vulgo «pontes», os portugueses têm muito mais fama do que proveito.;Os feriados portugueses, os feriados e «pontes» Muito mais fama do que benefícios Nelson Veiga* Tal como em muitas outras coisas, também no que respeita ao número de feriados gozados e aos longos fins de semana, conhecidos como «pontes», os portugueses têm muito mais fama do que proveito.
7;It is, therefore, a rental contract for housing, with a fixed term of five years, starting on March 1, 2013, as provided for in articles 102, 102, 109, n. 1, 109 and 109 of, with the parties in agreement in this regard, thus being subject to the regime provided for in articles 102 and following of and in Law no. 6/2006, dated 27-02, with the current wording.;Trata-se, assim, de um contrato de arrendamento com destino a habitação, com prazo certo de cinco anos, com início em 1 de março de 2013, tal como previsto nos artigos 102, 102, 109, n. 1, 109 e 109 do, encontrando-se as partes de acordo a tal respeito, estando assim sujeito ao regime previsto nos artigos 102 e seguintes do e na Lei n. 6/2006, de 27-02, com a redação atual.;Trata-se, portanto, de um contrato de arrendamento para habitação, com prazo certo de cinco anos, a contar de 1 de março de 2013, conforme previsto nos artigos 102, 102, 109, n. 1, 109 e 109 do, com as partes em concordância quanto a esta matéria, ficando, assim, submetido ao regime previsto nos artigos 102 e seguintes e na Lei n. 6/2006, datada de 27-02, com a redação atual.
8;In France I know some Portuguese. There, they are considered good workers and very discreet. They say they will look for work in other countries because there is a lot of unemployment here and wages are low. It was this idea that I brought. What, in your country, did you learn about Portugal and Portuguese history and culture?;Em França conheço alguns portugueses. Lá, são considerados bons trabalhadores e muito discretos. Dizem que vão procurar trabalho em outros países porque aqui há muito desemprego e os salários são baixos. Era esta ideia que trazia. O que é que, no seu país, aprendeu sobre Portugal e sobre a história e a cultura portuguesas?;Em França, sei português. Lá, são considerados bons trabalhadores e muito discretos. Dizem que procurarão trabalho noutros países porque há muito desemprego aqui e os salários são baixos. Foi esta ideia que eu trouxe. O que é que, no vosso país, aprenderam sobre Portugal e a história e a cultura portuguesa?
9;One may wonder whether the fact that the plaintiffs have implemented a wall separating the area of ​​the building occupied by them with their respective housing, garage, outbuildings and patio from the area occupied by the defendant and where there is the building where she lives and an attached land the public place means that they lost that possession due to abandonment of the thing article 126 of the Code.;Pode perguntar-se se o facto de os autores terem implantado um muro a separar a área do prédio ocupada pelos mesmos com a respectiva habitação, garagem, anexos e logradouro da área ocupada pela ré e onde existe a construção onde ela habita e um terreno afecto a logradouro significa que eles perderam essa posse por abandono da coisa artigo 126 do Código.;Pode questionar-se se o facto de os autores terem colocado uma parede a separar a área de construção que ocupam do edifício deles, com a sua habitação, garagem, dependências e pátio, da área que o réu ocupava e onde se encontra o edifício em que ela vive e um terreno contíguo, o local do artigo 126.º do Código, significa que perderam a posse dessa área por abandono do artigo 126.º do Código.
